X,Y,Index_,event_unique_id,occurrencedate,reporteddate,premisetype,ucr_code,ucr_ext,offence,reportedyear,reportedmonth,reportedday,reporteddayofyear,reporteddayofweek,reportedhour,occurrenceyear,occurrencemonth,occurrenceday,occurrencedayofyear,occurrencedayofweek,occurrencehour,MCI,Division,Hood_ID,Neighbourhood,Long,Lat,ObjectId
-79.4015961,43.7219734,64068,GO-2016218475,2016-02-06T00:52:00.000Z,2016-02-06T00:52:00.000Z,Outside,1420,100,Assault With Weapon,2016,February,6,37,Saturday  ,0,2016,February,6,37,Saturday  ,0,Assault,D53,103,Lawrence Park South (103),-79.4015961,43.7219734,64531
-79.4015961,43.7219734,64458,GO-2016780525,2016-05-06T21:40:00.000Z,2016-05-06T21:40:00.000Z,Outside,1430,100,Assault,2016,May,6,127,Friday    ,21,2016,May,6,127,Friday    ,21,Assault,D53,103,Lawrence Park South (103),-79.4015961,43.7219734,64614
-79.3601761,43.7154884,75912,GO-20171374308,2017-07-31T11:22:00.000Z,2017-07-31T11:22:00.000Z,House,1420,100,Assault With Weapon,2017,July,31,212,Monday    ,11,2017,July,31,212,Monday    ,11,Assault,D53,56,Leaside-Bennington (56),-79.3601761,43.7154884,75369
-79.4015961,43.7219734,71054,GO-2016301859,2016-02-20T05:25:00.000Z,2016-02-20T06:58:00.000Z,Commercial,2120,200,B&E,2016,February,20,51,Saturday  ,6,2016,February,20,51,Saturday  ,5,Break and Enter,D53,103,Lawrence Park South (103),-79.4015961,43.7219734,71054
-79.3592606,43.717308,71121,GO-2016496762,2016-03-23T09:49:00.000Z,2016-03-23T13:12:00.000Z,Outside,1420,100,Assault With Weapon,2016,March,23,83,Wednesday ,13,2016,March,23,83,Wednesday ,9,Assault,D53,56,Leaside-Bennington (56),-79.3592606,43.717308,71133
-79.3796234,43.7243309,72440,GO-2016262515,2016-01-01T00:00:00.000Z,2016-02-13T12:43:00.000Z,Other,1430,100,Assault,2016,February,13,44,Saturday  ,12,2016,January,1,1,Friday    ,0,Assault,D53,41,Bridle Path-Sunnybrook-York Mills (41),-79.3796234,43.7243309,72621
-79.3936005,43.7169456,72282,GO-2016984197,2016-06-06T08:00:00.000Z,2016-06-08T20:19:00.000Z,House,2120,200,B&E,2016,June,8,160,Wednesday ,20,2016,June,6,158,Monday    ,8,Break and Enter,D53,99,Mount Pleasant East (99),-79.3936005,43.7169456,72755
-79.3963776,43.723960899999987,72353,GO-20161353414,2016-07-26T12:00:00.000Z,2016-08-01T22:41:00.000Z,House,2120,200,B&E,2016,August,1,214,Monday    ,22,2016,July,26,208,Tuesday   ,12,Break and Enter,D53,103,Lawrence Park South (103),-79.3963776,43.7239609,72886
-79.3779831,43.7160759,72057,GO-20161599283,2016-09-09T01:33:00.000Z,2016-09-09T01:33:00.000Z,Apartment,1430,100,Assault,2016,September,9,253,Friday    ,1,2016,September,9,253,Friday    ,1,Assault,D53,56,Leaside-Bennington (56),-79.3779831,43.7160759,72957
-79.3779221,43.7217369,73475,GO-20161716916,2016-09-27T07:00:00.000Z,2016-09-27T07:00:00.000Z,Other,1430,100,Assault,2016,September,27,271,Tuesday   ,7,2016,September,27,271,Tuesday   ,7,Assault,D53,41,Bridle Path-Sunnybrook-York Mills (41),-79.3779221,43.7217369,73592
